Дата,Средняя температура,Город
25.07.2017,18.2,Paris
26.07.2017,18.7,Paris
27.07.2017,19.3,Paris
28.07.2017,19.8,Paris
29.07.2017,23.1,Paris
30.07.2017,21.9,Paris
31.07.2017,19.4,Paris
01.08.2017,21.2,Paris
02.08.2017,23.3,Paris
03.08.2017,22.6,Paris
